ACCESSION,PC,TEXT,TEXT_FR,ID,IMAGE,IMAGE_FR,CREDIT,LAT,LONG,ADDRESS,ADDRESS_FR,ARTWORK,ARTWORK_FR,ARTISTS,LOCATION,LOCATION_FR,CITY,PROVINCE,DATE_MOD,MATERIAL,MATERIAL_FR,YEAR
1977-0002,K1G 0N1,This artwork was a collaboration between Monika McLaughlin (concept of concrete work) and Marguerite Weatherstone (supplier of handmade earthenware tiles). The stylized tree represents a community and its fruits symbolize individual contributions.,"Cette œuvre d’art a été réalisée dans le cadre d’une collaboration entre Monika McLaughlin (qui a conçu l’œuvre de béton) et Marguerite Weatherstone (qui a réalisé à la main les tuiles de terre cuite). L’arbre stylisé représente une communauté, et ses fru",PA1,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_1_untitled.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_1_untitled.jpg,,45.401988,-75.627848,1895 Russell Road,"1895, ch Russell",Untitled 1977,Untitled 1977,"McLaughlin, Monika","1895 Russell Road, Dempsey Community Centre","1895 Russell Road, Dempsey Community Centre",Ottawa,ON,20180322,concrete and ceramic,béton et argile,1977
1989-0019,K1Y 2Y3,The text “WE’RE NOT GETTING ANY OLDER NOW” points out the fact that the photograph has arrested this moment for our consideration. The installation of the text on the floor accentuates the intended three dimensional illusion of the image and assigns impor,Le texte « WE’RE NOT GETTING ANY OLDER NOW » (nous ne vieillissons pas) signale le fait que le photographe a immortalisé ce moment pour le porter à notre attention. L’installation du texte sur le plancher accentue l’illusion de trois dimensions recherchée,PA10,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_10_We-are-not-getting-any-older-now....jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_10_We-are-not-getting-any-older-now....jpg,,45.403638,-75.724719,,,We are not getting any older now...,We are not getting any older now...,"Wonnacott, Justin",,,Ottawa,ON,20180322,"Ektacolour print with text, dye-coupler print (Ektacolour)","épreuve (Ektacolour, dye-coupler) avec texte",1989
2009-0044,,"In 2008, the City of Ottawa called on local artists to submit graphically strong line drawings to be cut out of stainless steel panels for bicycle racks. Thirty exceptional designs, by emerging and established artists, were chosen from 164 submissions. Th","En 2008, la Ville d'Ottawa a organisé un concours afin de demander aux artistes locaux de soumettre des dessins au trait d’une grande qualité graphique, qui seront découpés dans des panneaux en acier inoxydable pour en faire des supports à vélos. Trente c",PA100,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_100_untitled-bicycle-rack.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_100_untitled-bicycle-rack.jpg,,45.418636,-75.69919,Bank St,rue Bank,"Bank Street North, Public Art Bicycle Racks: Untitled","Bank Street North, Public Art Bicycle Racks: Untitled","Russell, Karen ","Bank Street, North (Laurier Ave. to Catherine St.)","Bank Street, North (Laurier Ave. to Catherine St.)",Ottawa,ON,20180322,stainless steel ,acier inoxydable ,2008
2009-0045,,"In 2008, the City of Ottawa called on local artists to submit graphically strong line drawings to be cut out of stainless steel panels for bicycle racks. Thirty exceptional designs, by emerging and established artists, were chosen from 164 submissions. Th","En 2008, la Ville d'Ottawa a organisé un concours afin de demander aux artistes locaux de soumettre des dessins au trait d’une grande qualité graphique, qui seront découpés dans des panneaux en acier inoxydable pour en faire des supports à vélos. Trente c",PA101,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_101_untitled-bicycle-rack.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_101_untitled-bicycle-rack.jpg,,45.418636,-75.69919,Bank St,rue Bank,"Bank Street North, Public Art Bicycle Racks: Untitled","Bank Street North, Public Art Bicycle Racks: Untitled","Sekerka, John","Bank Street, North (Laurier Ave. to Catherine St.)","Bank Street, North (Laurier Ave. to Catherine St.)",Ottawa,ON,20180322,stainless steel ,acier inoxydable ,2008
2009-0046,,"In 2008, the City of Ottawa called on local artists to submit graphically strong line drawings to be cut out of stainless steel panels for bicycle racks. Thirty exceptional designs, by emerging and established artists, were chosen from 164 submissions. Th","En 2008, la Ville d'Ottawa a organisé un concours afin de demander aux artistes locaux de soumettre des dessins au trait d’une grande qualité graphique, qui seront découpés dans des panneaux en acier inoxydable pour en faire des supports à vélos. Trente c",PA102,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_102_untitled-bicycle-rack.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_102_untitled-bicycle-rack.jpg,,45.418636,-75.69919,Bank St,rue Bank,"Bank Street North, Public Art Bicycle Racks: Untitled","Bank Street North, Public Art Bicycle Racks: Untitled","Sileem, Zeena","Bank Street, North (Laurier Ave. to Catherine St.)","Bank Street, North (Laurier Ave. to Catherine St.)",Ottawa,ON,20180322,stainless steel ,acier inoxydable ,2008
2009-0047,,"In 2008, the City of Ottawa called on local artists to submit graphically strong line drawings to be cut out of stainless steel panels for bicycle racks. Thirty exceptional designs, by emerging and established artists, were chosen from 164 submissions. Th","En 2008, la Ville d'Ottawa a organisé un concours afin de demander aux artistes locaux de soumettre des dessins au trait d’une grande qualité graphique, qui seront découpés dans des panneaux en acier inoxydable pour en faire des supports à vélos. Trente c",PA103,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_103_untitled-bicycle-rack.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_103_untitled-bicycle-rack.jpg,,45.418636,-75.69919,Bank St,rue Bank,"Bank Street North, Public Art Bicycle Racks: Untitled","Bank Street North, Public Art Bicycle Racks: Untitled","Swim, Joanna","Bank Street, North (Laurier Ave. to Catherine St.)","Bank Street, North (Laurier Ave. to Catherine St.)",Ottawa,ON,20180322,stainless steel ,acier inoxydable ,2008
2009-0048,,"In 2008, the City of Ottawa called on local artists to submit graphically strong line drawings to be cut out of stainless steel panels for bicycle racks. Thirty exceptional designs, by emerging and established artists, were chosen from 164 submissions. Th","En 2008, la Ville d'Ottawa a organisé un concours afin de demander aux artistes locaux de soumettre des dessins au trait d’une grande qualité graphique, qui seront découpés dans des panneaux en acier inoxydable pour en faire des supports à vélos. Trente c",PA104,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_104_untitled-bicycle-rack.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_104_untitled-bicycle-rack.jpg,,45.418636,-75.69919,Bank St,rue Bank,"Bank Street North, Public Art Bicycle Racks: Untitled","Bank Street North, Public Art Bicycle Racks: Untitled","Swim, Joanna","Bank Street, North (Laurier Ave. to Catherine St.)","Bank Street, North (Laurier Ave. to Catherine St.)",Ottawa,ON,20180322,stainless steel ,acier inoxydable ,2008
2009-0049,,"In 2008, the City of Ottawa called on local artists to submit graphically strong line drawings to be cut out of stainless steel panels for bicycle racks. Thirty exceptional designs, by emerging and established artists, were chosen from 164 submissions. Th","En 2008, la Ville d'Ottawa a organisé un concours afin de demander aux artistes locaux de soumettre des dessins au trait d’une grande qualité graphique, qui seront découpés dans des panneaux en acier inoxydable pour en faire des supports à vélos. Trente c",PA105,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_105_untitled-bicycle-rack.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_105_untitled-bicycle-rack.jpg,,45.418636,-75.69919,Bank St,rue Bank,"Bank Street North, Public Art Bicycle Racks: Untitled","Bank Street North, Public Art Bicycle Racks: Untitled","Thomas, Lisa","Bank Street, North (Laurier Ave. to Catherine St.)","Bank Street, North (Laurier Ave. to Catherine St.)",Ottawa,ON,20180322,stainless steel ,acier inoxydable ,2008
2009-0050,,"In 2008, the City of Ottawa called on local artists to submit graphically strong line drawings to be cut out of stainless steel panels for bicycle racks. Thirty exceptional designs, by emerging and established artists, were chosen from 164 submissions. Th","En 2008, la Ville d'Ottawa a organisé un concours afin de demander aux artistes locaux de soumettre des dessins au trait d’une grande qualité graphique, qui seront découpés dans des panneaux en acier inoxydable pour en faire des supports à vélos. Trente c",PA106,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_106_untitled-bicycle-rack.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_106_untitled-bicycle-rack.jpg,,45.418636,-75.69919,Bank St,rue Bank,"Bank Street North, Public Art Bicycle Racks: Untitled","Bank Street North, Public Art Bicycle Racks: Untitled","Thompson, Amy","Bank Street, North (Laurier Ave. to Catherine St.)","Bank Street, North (Laurier Ave. to Catherine St.)",Ottawa,ON,20180322,stainless steel ,acier inoxydable ,2008
2009-0051,,"In 2008, the City of Ottawa called on local artists to submit graphically strong line drawings to be cut out of stainless steel panels for bicycle racks. Thirty exceptional designs, by emerging and established artists, were chosen from 164 submissions. Th","En 2008, la Ville d'Ottawa a organisé un concours afin de demander aux artistes locaux de soumettre des dessins au trait d’une grande qualité graphique, qui seront découpés dans des panneaux en acier inoxydable pour en faire des supports à vélos. Trente c",PA107,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_107_untitled-bicycle-rack.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_107_untitled-bicycle-rack.jpg,,45.418636,-75.69919,Bank St,rue Bank,"Bank Street North, Public Art Bicycle Racks: Untitled","Bank Street North, Public Art Bicycle Racks: Untitled","Tsui, Howie","Bank Street, North (Laurier Ave. to Catherine St.)","Bank Street, North (Laurier Ave. to Catherine St.)",Ottawa,ON,20180322,stainless steel ,acier inoxydable ,2008
