route_id,route_short_name,route_long_name,route_desc,route_type,route_url
1-251,1,,,3,
2-251,2,,,3,
4-251,4,,,3,
5-251,5,,,3,
6-251,6,,,3,
7-251,7,,,3,
8-251,8,,,3,
9-251,9,,,3,
12-251,12,,,3,
14-251,14,,,3,
16-251,16,,,3,
18-251,18,,,3,
20-251,20,,,3,
21-251,21,,,3,
22-251,22,,,3,
24-251,24,,,3,
27-251,27,,,3,
30-251,30,,,3,
31-251,31,,,3,
34-251,34,,,3,
35-251,35,,,3,
37-251,37,,,3,
38-251,38,,,3,
40-251,40,,,3,
41-251,41,,,3,
43-251,43,,,3,
60-251,60,,,3,
61-251,61,,,3,
62-251,62,,,3,
64-251,64,,,3,
65-251,65,,,3,
66-251,66,,,3,
67-251,67,,,3,
68-251,68,,,3,
69-251,69,,,3,
70-251,70,,,3,
71-251,71,,,3,
72-251,72,,,3,
73-251,73,,,3,
77-251,77,,,3,
85-251,85,,,3,
86-251,86,,,3,
87-251,87,,,3,
91-251,91,,,3,
92-251,92,,,3,
93-251,93,,,3,
94-251,94,,,3,
95-251,95,,,3,
96-251,96,,,3,
97-251,97,,,3,
98-251,98,,,3,
99-251,99,,,3,
101-251,101,,,3,
103-251,103,,,3,
104-251,104,,,3,
105-251,105,,,3,
106-251,106,,,3,
111-251,111,,,3,
112-251,112,,,3,
114-251,114,,,3,
116-251,116,,,3,
118-251,118,,,3,
120-251,120,,,3,
121-251,121,,,3,
122-251,122,,,3,
123-251,123,,,3,
124-251,124,,,3,
126-251,126,,,3,
128-251,128,,,3,
129-251,129,,,3,
130-251,130,,,3,
131-251,131,,,3,
132-251,132,,,3,
134-251,134,,,3,
135-251,135,,,3,
136-251,136,,,3,
137-251,137,,,3,
140-251,140,,,3,
144-251,144,,,3,
146-251,146,,,3,
147-251,147,,,3,
148-251,148,,,3,
149-251,149,,,3,
150-251,150,,,3,
151-251,151,,,3,
152-251,152,,,3,
153-251,153,,,3,
154-251,154,,,3,
155-251,155,,,3,
156-251,156,,,3,
157-251,157,,,3,
159-251,159,,,3,
161-251,161,,,3,
162-251,162,,,3,
164-251,164,,,3,
165-251,165,,,3,
167-251,167,,,3,
168-251,168,,,3,
170-251,170,,,3,
171-251,171,,,3,
172-251,172,,,3,
173-251,173,,,3,
174-251,174,,,3,
175-251,175,,,3,
176-251,176,,,3,
177-251,177,,,3,
178-251,178,,,3,
180-251,180,,,3,
181-251,181,,,3,
182-251,182,,,3,
185-251,185,,,3,
186-251,186,,,3,
189-251,189,,,3,
192-251,192,,,3,
193-251,193,,,3,
194-251,194,,,3,
198-251,198,,,3,
199-251,199,,,3,
201-249,201,,,3,
202-249,202,,,3,
203-249,203,,,3,
204-249,204,,,3,
205-249,205,,,3,
221-251,221,,,3,
222-251,222,,,3,
228-251,228,,,3,
261-251,261,,,3,
262-251,262,,,3,
263-251,263,,,3,
283-251,283,,,3,
401-226,401,,,3,
402-226,402,,,3,
403-226,403,,,3,
404-226,404,,,3,
405-226,405,,,3,
406-226,406,,,3,
602-251,602,,,3,
611-251,611,,,3,
612-251,612,,,3,
613-251,613,,,3,
618-251,618,,,3,
619-251,619,,,3,
622-251,622,,,3,
632-251,632,,,3,
633-251,633,,,3,
640-251,640,,,3,
641-251,641,,,3,
644-251,644,,,3,
648-251,648,,,3,
649-251,649,,,3,
661-251,661,,,3,
665-251,665,,,3,
669-251,669,,,3,
670-251,670,,,3,
674-251,674,,,3,
678-251,678,,,3,
681-251,681,,,3,
691-251,691,,,3,
698-251,698,,,3,
750-251,OTrn,,,2,
