route_id,service_id,trip_id,trip_headsign,direction_id,block_id
402-226,COREL-1900SUPC-Weekday-03,40915340-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,5168103
402-226,COREL-1900SUPC-Weekday-03,40915341-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,5168104
405-226,COREL-1900SUPC-Weekday-03,40915347-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,5168107
405-226,COREL-1900SUPC-Weekday-03,40915348-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,5168106
405-226,COREL-1900SUPC-Weekday-03,40915350-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,5168108
404-226,COREL-1900SUPC-Weekday-03,40915351-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,5168105
404-226,COREL-1900SUPC-Weekday-03,40915352-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,5168105
403-226,COREL-1900SUPC-Weekday-03,40915354-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,
403-226,COREL-1900SUPC-Weekday-03,40915355-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,
403-226,COREL-1900SUPC-Weekday-03,40915356-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,
403-226,COREL-1900SUPC-Weekday-03,40915357-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,
401-226,COREL-1900SUPC-Weekday-03,40915358-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,5168102
401-226,COREL-1900SUPC-Weekday-03,40915359-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,5168101
403-226,COREL-1900SUPC-Weekday-03,40915360-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,
406-226,COREL-1900SUPC-Weekday-03,42177508-COREL-1900SUPC-Weekday-03,"Centre Canadian Tire Centre",0,
201-249,JUN16-201-Mon-Monday-02,42094503-JUN16-201-Mon-Monday-02,"Richmond Stittsville",1,4997001
201-249,JUN16-201-Mon-Monday-02,42094504-JUN16-201-Mon-Monday-02,"Bayshore Carlingwd",0,4997001
202-249,JUN16-202-Tue-Tuesday-02,42094507-JUN16-202-Tue-Tuesday-02,"St Laurent Pl Orlns",0,
202-249,JUN16-202-Tue-Tuesday-02,42094508-JUN16-202-Tue-Tuesday-02,"Cumberland",1,4997002
203-249,JUN16-203-Wed-Tuesday-02,42094511-JUN16-203-Wed-Tuesday-02,"Carlingwd Bayshore",0,4997003
203-249,JUN16-203-Wed-Tuesday-02,42094512-JUN16-203-Wed-Tuesday-02,"Dunrobin Stittsville",1,4997003
204-249,JUN16-204-Thu-Tuesday-02,42094515-JUN16-204-Thu-Tuesday-02,"Greely Metcalfe",1,
204-249,JUN16-204-Thu-Tuesday-02,42094516-JUN16-204-Thu-Tuesday-02,"Billings Brdg S. Keys",0,4997004
205-249,JUN16-205-Fri-Tuesday-02,42094520-JUN16-205-Fri-Tuesday-02,"North Gower",1,4997005
205-249,JUN16-205-Fri-Tuesday-02,42094521-JUN16-205-Fri-Tuesday-02,"Carlingwood",0,4997005
137-251,SEPT16-SEPDA16-Weekday-36,43028502-SEPT16-SEPDA16-Weekday-36,"Queenswood Hghts",0,5101166
131-251,SEPT16-SEPDA16-Weekday-36,43028503-SEPT16-SEPDA16-Weekday-36,"Convent Glen",0,5101379
134-251,SEPT16-SEPDA16-Weekday-36,43028504-SEPT16-SEPDA16-Weekday-36,"Renaud",0,5100628
134-251,SEPT16-SEPDA16-Weekday-36,43028505-SEPT16-SEPDA16-Weekday-36,"Place d'Orléans",1,5100628
131-251,SEPT16-SEPDA16-Weekday-36,43028506-SEPT16-SEPDA16-Weekday-36,"Chapel Hill",1,5101379
131-251,SEPT16-SEPDA16-Weekday-36,43028507-SEPT16-SEPDA16-Weekday-36,"Chapel Hill",1,5101379
131-251,SEPT16-SEPDA16-Weekday-36,43028508-SEPT16-SEPDA16-Weekday-36,"Chapel Hill",1,5101379
131-251,SEPT16-SEPDA16-Weekday-36,43028509-SEPT16-SEPDA16-Weekday-36,"Chapel Hill",1,5101379
131-251,SEPT16-SEPDA16-Weekday-36,43028510-SEPT16-SEPDA16-Weekday-36,"Chapel Hill",1,5101379
149-251,SEPT16-SEPDA16-Weekday-36,43028511-SEPT16-SEPDA16-Weekday-36,"Hurdman",1,5101378
149-251,SEPT16-SEPDA16-Weekday-36,43028512-SEPT16-SEPDA16-Weekday-36,"Hurdman",1,5100796
9-251,SEPT16-SEPDA16-Weekday-36,43028513-SEPT16-SEPDA16-Weekday-36,"Rideau",0,5101209
9-251,SEPT16-SEPDA16-Weekday-36,43028514-SEPT16-SEPDA16-Weekday-36,"Hurdman",1,5101209
99-251,SEPT16-SEPDA16-Weekday-36,43028515-SEPT16-SEPDA16-Weekday-36,"Greenboro",0,5101147
12-251,SEPT16-SEPDA16-Weekday-36,43028516-SEPT16-SEPDA16-Weekday-36,"Blair",0,5101199
